,PrecinctYear,Precinct,Year,Taxis,Flyers,Seniors,Outreach,HandsOn,Edu_Total,PERSONS_INJURED,PERSONS_KILLED,PEDESTRIANS_INJURED,PEDESTRIANS_KILLED,CYCLIST_INJURED,CYCLIST_KILLED,MOTORIST_INJURED,MOTORIST_KILLED
0,342016,34,2016,0,0,1,5,0,6,0,0,0,0,0,0,0,0
1,502016,50,2016,0,0,0,2,1,3,0,0,0,0,0,0,0,0
2,1012013,101,2013,0,0,0,0,0,0,268,2,55,0,11,0,202,2
3,722013,72,2013,0,0,0,0,0,0,726,2,167,1,76,0,483,1
4,1132016,113,2016,0,0,1,6,0,7,0,0,0,0,0,0,0,0
5,1022014,102,2014,0,4,4,7,1,16,813,5,134,1,39,1,640,3
6,192013,19,2013,0,0,0,0,0,0,739,6,242,6,96,0,401,0
7,192014,19,2014,0,1,13,3,0,17,710,6,246,5,89,0,375,1
8,192015,19,2015,1,0,2,3,1,7,655,5,217,5,90,0,348,0
9,192016,19,2016,0,0,1,2,1,4,0,0,0,0,0,0,0,0
10,1222015,122,2015,0,0,1,10,0,11,705,10,95,3,11,1,599,6
11,452014,45,2014,0,0,10,15,0,25,544,4,95,2,25,0,424,2
12,492015,49,2015,1,0,2,16,1,20,540,1,98,0,26,0,416,1
13,622013,62,2013,0,0,0,0,0,0,682,5,184,3,72,1,426,1
14,452015,45,2015,1,0,2,17,2,22,530,4,80,1,16,1,434,2
15,682013,68,2013,0,0,0,0,0,0,588,4,117,3,37,0,434,1
16,682014,68,2014,0,0,4,4,0,8,615,4,127,3,33,0,455,1
17,682015,68,2015,4,0,3,11,2,20,533,3,98,0,34,0,401,3
18,682016,68,2016,0,0,2,8,0,10,0,0,0,0,0,0,0,0
19,452016,45,2016,0,0,2,9,2,13,0,0,0,0,0,0,0,0
20,1112016,111,2016,0,0,1,2,0,3,0,0,0,0,0,0,0,0
21,732013,73,2013,0,0,0,0,0,0,834,1,181,0,47,0,606,1
22,1092013,109,2013,0,0,0,0,0,0,1073,8,304,4,44,0,725,4
23,1022015,102,2015,8,0,2,4,0,14,870,3,134,2,50,0,686,1
24,1222016,122,2016,0,0,0,7,0,7,0,0,0,0,0,0,0,0
25,1152013,115,2013,0,0,0,0,0,0,941,4,183,3,104,0,654,1
26,1132014,113,2014,0,0,2,20,2,24,970,6,110,1,37,1,823,4
27,422013,42,2013,0,0,0,0,0,0,405,3,118,1,28,1,259,1
28,1032016,103,2016,0,0,3,2,0,5,0,0,0,0,0,0,0,0
29,712015,71,2015,3,0,1,2,0,6,636,1,176,1,53,0,407,0
30,842013,84,2013,0,0,0,0,0,0,446,2,122,0,42,1,282,1
31,492016,49,2016,0,0,0,3,0,3,0,0,0,0,0,0,0,0
32,622014,62,2014,0,0,1,7,0,8,685,6,191,4,67,1,427,1
33,1132013,113,2013,0,0,0,0,0,0,990,3,132,2,38,0,820,1
34,722015,72,2015,6,0,1,4,0,11,703,2,144,1,70,1,489,0
35,1042014,104,2014,0,0,3,11,0,14,674,4,137,2,46,0,491,2
36,62013,6,2013,0,0,0,0,0,0,251,0,97,0,43,0,111,0
37,62014,6,2014,0,0,0,3,0,3,210,0,82,0,43,0,85,0
38,62015,6,2015,0,0,1,0,1,2,208,0,73,0,48,0,87,0
39,62016,6,2016,0,0,0,2,0,2,0,0,0,0,0,0,0,0
40,722016,72,2016,0,0,0,8,0,8,0,0,0,0,0,0,0,0
41,732014,73,2014,0,0,0,8,0,8,759,1,157,0,30,0,572,1
42,1002016,100,2016,0,0,2,1,1,4,0,0,0,0,0,0,0,0
43,1022016,102,2016,0,0,2,2,0,4,0,0,0,0,0,0,0,0
44,1152014,115,2014,0,1,0,16,4,21,799,5,178,4,90,0,531,1
45,232013,23,2013,0,0,0,0,0,0,281,3,64,1,35,1,182,1
46,232014,23,2014,0,0,4,13,0,17,320,5,102,1,22,2,196,2
47,232015,23,2015,2,0,1,6,2,11,312,0,75,0,36,0,201,0
48,232016,23,2016,0,0,0,2,0,2,0,0,0,0,0,0,0,0
49,842014,84,2014,0,0,0,7,4,11,488,1,126,1,50,0,312,0
50,622015,62,2015,5,0,3,9,0,17,676,5,192,4,57,0,427,1
51,752013,75,2013,0,0,0,0,0,0,1703,9,279,3,80,0,1344,6
52,1042015,104,2015,3,0,0,12,1,16,709,3,123,3,81,0,505,0
53,832015,83,2015,5,0,0,12,0,17,593,1,116,1,76,0,401,0
54,1112015,111,2015,0,0,1,4,0,5,699,4,90,0,12,0,597,4
55,402013,40,2013,0,0,0,0,0,0,587,2,174,1,19,0,394,1
56,402014,40,2014,0,0,0,18,1,19,527,1,126,1,35,0,366,0
57,402015,40,2015,7,1,0,10,2,20,624,0,116,0,46,0,462,0
58,402016,40,2016,0,0,0,11,0,11,0,0,0,0,0,0,0,0
59,832016,83,2016,0,0,0,13,0,13,0,0,0,0,0,0,0,0
60,732015,73,2015,0,0,1,6,2,9,695,4,113,4,42,0,540,0
61,1082013,108,2013,0,0,0,0,0,0,1013,10,163,6,86,0,764,4
62,1082016,108,2016,0,0,0,2,1,3,0,0,0,0,0,0,0,0
63,252013,25,2013,0,0,0,0,0,0,492,4,141,3,21,1,330,0
64,252014,25,2014,0,0,2,12,0,14,484,3,125,2,23,0,336,1
65,252015,25,2015,2,0,0,6,0,8,444,2,124,0,30,1,290,1
66,252016,25,2016,0,0,0,3,0,3,0,0,0,0,0,0,0,0
67,1222014,122,2014,0,1,3,16,3,23,751,4,87,3,15,0,649,1
68,462014,46,2014,0,2,1,18,4,25,563,0,165,0,32,0,366,0
69,1042016,104,2016,0,0,0,11,0,11,0,0,0,0,0,0,0,0
70,462015,46,2015,3,0,0,11,1,15,469,1,129,0,39,0,301,1
71,102013,10,2013,0,0,0,0,0,0,329,4,88,2,38,0,203,2
72,102014,10,2014,0,0,1,1,0,2,261,2,68,2,36,0,157,0
73,102015,10,2015,2,0,3,1,0,6,260,2,88,1,37,0,135,1
74,102016,10,2016,0,0,0,0,1,1,0,0,0,0,0,0,0,0
75,622016,62,2016,0,0,1,5,1,7,0,0,0,0,0,0,0,0
76,1152016,115,2016,0,0,4,7,2,13,0,0,0,0,0,0,0,0
77,612015,61,2015,1,0,5,9,0,15,792,9,167,6,71,0,554,3
78,772013,77,2013,0,0,0,0,0,0,655,3,171,2,71,1,413,0
79,1062015,106,2015,3,0,0,6,1,10,956,6,100,2,27,1,829,3
80,1232013,123,2013,0,0,0,0,0,0,408,0,36,0,2,0,370,0
81,1232014,123,2014,0,0,0,4,0,4,324,2,22,1,0,0,302,1
82,412013,41,2013,0,0,0,0,0,0,462,4,117,3,22,0,323,1
83,1042013,104,2013,0,0,0,0,0,0,759,3,153,2,45,0,561,1
84,462013,46,2013,0,0,0,0,0,0,561,6,162,5,29,0,370,1
85,752015,75,2015,6,0,2,12,1,21,1576,12,216,8,84,0,1276,4
86,412014,41,2014,0,0,0,11,0,11,464,2,89,0,24,0,351,2
87,882013,88,2013,0,0,0,0,0,0,409,1,95,1,89,0,225,0
88,1062013,106,2013,0,0,0,0,0,0,944,4,109,1,22,1,813,2
89,662014,66,2014,0,5,3,7,1,16,666,5,221,5,84,0,361,0
90,412015,41,2015,1,0,0,4,1,6,364,4,89,2,20,0,255,2
91,1012014,101,2014,3,4,0,3,2,12,227,1,51,0,15,0,161,1
92,442013,44,2013,0,0,0,0,0,0,562,3,173,3,33,0,356,0
93,442014,44,2014,0,0,0,12,3,15,538,0,152,0,37,0,349,0
94,442015,44,2015,3,0,0,25,1,29,554,8,146,4,55,2,353,2
95,442016,44,2016,1,0,1,6,0,8,0,0,0,0,0,0,0,0
96,412016,41,2016,0,0,0,3,0,3,0,0,0,0,0,0,0,0
97,732016,73,2016,0,0,0,9,1,10,0,0,0,0,0,0,0,0
98,1062016,106,2016,0,0,1,2,0,3,0,0,0,0,0,0,0,0
99,612013,61,2013,0,0,0,0,0,0,926,8,232,3,66,0,628,5
100,612014,61,2014,0,0,7,11,0,18,818,7,249,5,69,0,500,2
101,522013,52,2013,0,0,0,0,0,0,694,1,195,1,25,0,474,0
102,612016,61,2016,0,0,2,3,0,5,0,0,0,0,0,0,0,0
103,1102013,110,2013,0,0,0,0,0,0,751,7,198,6,62,0,491,1
104,782013,78,2013,0,0,0,0,0,0,435,2,98,2,99,0,238,0
105,882014,88,2014,0,0,0,4,1,5,354,1,68,0,72,0,214,1
106,522014,52,2014,0,0,0,10,1,11,557,2,174,1,24,0,359,1
107,662015,66,2015,8,0,1,4,3,16,686,3,220,2,98,0,368,1
108,792013,79,2013,0,0,0,0,0,0,678,2,153,0,105,0,420,2
109,522015,52,2015,2,0,0,16,0,18,565,1,165,0,31,0,369,1
110,1082015,108,2015,19,1,0,5,1,26,970,4,122,1,96,2,752,1
111,142013,14,2013,0,0,0,0,0,0,594,3,261,3,99,0,234,0
112,142014,14,2014,2,0,4,0,1,7,562,2,258,1,91,0,213,1
113,142015,14,2015,7,0,0,0,1,8,505,1,223,1,94,0,188,0
114,462016,46,2016,0,0,2,4,0,6,0,0,0,0,0,0,0,0
115,842016,84,2016,0,0,0,1,0,1,0,0,0,0,0,0,0,0
116,772015,77,2015,7,0,0,7,0,14,564,3,134,2,53,0,377,1
117,902013,90,2013,0,0,0,0,0,0,842,7,187,2,168,0,487,5
118,632013,63,2013,0,0,0,0,0,0,671,2,118,1,35,0,518,1
119,632014,63,2014,0,0,3,5,1,9,632,6,115,2,28,0,489,4
120,632015,63,2015,0,0,0,9,5,14,603,0,89,0,22,0,492,0
