,PrecinctYear,Precinct,Year,Taxis,Flyers,Seniors,Outreach,HandsOn,Edu_Total,Backing Unsafely,Brake Lights (Defect.or Improper),"Bus Lane, Driving in",Cell Phone,Commercial Veh on Pkwy,Defective Brakes,Disobey Steady Red Signal,Disobey Traffic Control Device,Equipment (Other),Fail to Keep Right,Fail to Signal,Following Too Closely,Headlights (Defect. or Improper),Improper Lights,Improper Passing,Improper Turn,Improper/Missing Plates,Not Giving R of W to Pedes.,Not Giving R of W to Veh.,One Way Street,Other Movers,Pavement Markings,Safety Belt,"School Bus, Passing Stopped",Speeding,Spillback,Tinted Windows,Truck Routes,U-Turn,Uninspected,Uninsured,Unlicensed Operator,Unregistered,P12,P123,Traf_Total,Neigh_Slow_Zone_Total,Speed_Bump_Total,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED
0,682013,68.0,2013,0,0,0,0,0,0,9,274,0,1623,32,2,485,978,45,5,142,4,195,0,3,484,27,362,17,5,510,60,1594,9,356,20,495,276,42,7,588,592,100,886,3729,9341,0,0,588,4,117,3,37,0,434,1
1,682014,68.0,2014,0,0,4,4,0,8,9,265,1,1295,59,4,590,874,11,2,93,2,199,0,20,786,12,744,19,1,13,99,1575,75,590,20,413,157,24,4,594,507,138,1521,4045,9195,0,0,615,4,127,3,33,0,455,1
2,682015,68.0,2015,4,0,3,11,2,20,2,25,0,652,87,0,594,740,1,0,167,9,23,1,60,881,21,683,37,1,14,144,936,26,628,21,467,147,19,3,375,399,127,1541,4046,7290,0,0,533,3,98,0,34,0,401,3
3,1022013,102.0,2013,0,0,0,0,0,0,19,596,0,1087,1,8,337,1559,14,1,81,6,266,18,11,222,38,227,26,13,559,175,1544,6,185,6,988,50,17,26,797,620,83,525,3327,9586,0,2,788,6,139,5,63,0,586,1
4,1022014,102.0,2014,0,4,4,7,1,16,20,271,0,1178,0,17,450,2194,6,8,232,3,118,108,35,514,10,444,44,15,68,134,1204,30,435,16,616,22,20,30,563,599,89,1185,4483,9493,0,8,813,5,134,1,39,1,640,3
5,1022015,102.0,2015,8,0,2,4,0,14,5,85,0,904,1,2,501,2122,9,6,155,2,47,91,22,590,12,601,73,6,23,11,1238,23,608,7,702,25,4,10,406,670,66,1460,4743,9027,0,15,870,3,134,2,50,0,686,1
6,252013,25.0,2013,0,0,0,0,0,0,5,270,1,1683,6,14,37,168,56,0,52,1,198,0,0,999,45,196,1,54,373,254,1862,47,33,5,93,269,3,40,127,283,56,329,2234,7231,0,0,492,4,141,3,21,1,330,0
7,252014,25.0,2014,0,0,2,12,0,14,45,430,9,1592,1,25,547,434,146,2,324,1,357,6,32,1852,99,543,32,189,33,165,1435,211,286,19,1256,237,448,53,585,477,173,1396,5092,12044,0,0,484,3,125,2,23,0,336,1
8,252015,25.0,2015,2,0,0,6,0,8,19,111,4,1816,2,3,638,877,49,0,75,0,38,13,12,2252,46,659,2,203,34,24,1396,64,409,8,549,204,87,18,302,309,69,1209,5368,10292,0,0,444,2,124,0,30,1,290,1
9,422013,42.0,2013,0,0,0,0,0,0,19,131,2,871,0,7,695,995,7,1,74,11,194,46,4,1394,5,162,28,5,98,158,477,166,234,1,977,29,28,54,286,480,73,664,3927,7712,0,0,405,3,118,1,28,1,259,1
10,422014,42.0,2014,0,0,0,22,1,23,18,92,3,615,0,3,769,1107,7,3,60,3,108,46,13,1236,3,218,59,8,35,179,321,239,288,26,681,23,42,34,350,409,108,864,4097,7106,0,0,374,2,96,1,24,0,254,1
11,422015,42.0,2015,2,0,1,16,0,19,50,135,5,589,1,1,1037,1607,1,0,147,2,188,20,14,1549,1,290,60,1,49,32,287,172,426,16,858,33,94,33,303,543,108,1095,5516,8652,0,0,363,0,94,0,26,0,243,0
12,762013,76.0,2013,0,0,0,0,0,0,13,61,0,1835,2,0,203,181,11,0,170,1,83,1,15,734,25,137,0,70,234,1190,1142,2,109,0,800,16,2,23,203,202,42,418,1828,7507,0,0,279,1,42,1,25,0,212,0
13,762014,76.0,2014,0,0,0,2,0,2,26,40,0,1247,1,1,304,438,2,0,117,4,50,0,5,304,21,187,9,74,11,1491,723,10,240,8,760,4,9,10,159,201,40,563,1681,6496,0,0,215,1,40,1,16,0,159,0
14,762015,76.0,2015,3,0,0,4,0,7,18,37,0,860,0,0,326,545,1,0,86,0,65,0,7,690,21,244,2,50,10,474,497,16,310,4,658,3,8,2,91,182,24,658,2279,5231,0,0,301,2,28,1,26,1,247,0
15,1102013,110.0,2013,0,0,0,0,0,0,10,36,0,2143,0,2,467,1188,7,0,99,5,41,7,14,29,26,442,8,217,386,139,3256,28,2991,5,593,138,12,41,685,1678,132,3568,5824,14825,1,0,751,7,198,6,62,0,491,1
