,Backing Unsafely,Brake Lights (Defect.or Improper),"Bus Lane, Driving in",Cell Phone,Commercial Veh on Pkwy,Defective Brakes,Disobey Steady Red Signal,Disobey Traffic Control Device,Equipment (Other),Fail to Keep Right,Fail to Signal,Following Too Closely,Headlights (Defect. or Improper),ID,Improper Lights,Improper Passing,Improper Turn,Improper/Missing Plates,Not Giving R of W to Pedes.,Not Giving R of W to Veh.,One Way Street,Other Movers,Pavement Markings,Precinct,Safety Belt,"School Bus, Passing Stopped",Speeding,Spillback,Tinted Windows,Truck Routes,U-Turn,Uninspected,Uninsured,Unlicensed Operator,Unregistered,Year,P12,P123,Total
0012013,6,536,92,2411,2,0,658,1810,226,3,129,3,638,0012013,13,25,530,43,226,8,185,293,299,001,1397,3,73,48,542,25,10,40,496,350,103,2013,439.0,3816.0,11223.0
0052013,12,326,11,617,0,1,533,1869,87,10,70,4,491,0052013,0,35,1979,16,166,77,60,636,358,005,620,4,91,220,169,1,39,9,171,266,81,2013,408.0,5493.0,9029.0
0062013,20,126,0,1789,2,0,582,1516,2,1,147,2,282,0062013,3,34,926,12,137,10,105,437,829,006,1417,3,43,7,201,27,42,5,247,369,33,2013,340.0,3904.0,9356.0
0072013,4,0,0,1395,1,1,436,1754,0,1,59,1,0,0072013,178,3,875,0,232,11,0,694,0,007,830,9,40,180,307,83,0,42,187,249,55,2013,351.0,4198.0,7627.0
0092013,11,85,17,2403,0,5,1181,1323,100,1,43,5,77,0092013,0,11,518,45,244,12,41,396,313,009,1110,8,23,10,156,4,5,60,259,416,51,2013,330.0,3813.0,8933.0
0102013,17,305,0,1747,0,1,378,489,0,15,72,3,366,0102013,86,49,616,5,122,9,224,707,57,010,2540,10,48,106,338,81,13,106,283,483,210,2013,261.0,2567.0,9486.0
0132013,17,124,21,840,4,2,635,2806,6,2,89,1,46,0132013,0,31,1350,9,269,21,110,390,182,013,324,8,67,624,88,34,12,15,396,264,93,2013,454.0,5711.0,8880.0
0142013,18,401,26,3147,0,15,311,2664,0,1,280,4,1139,0142013,10,7,2275,14,1041,14,47,1321,27,014,2715,0,7,917,762,311,235,69,1372,487,156,2013,1342.0,8491.0,19793.0
0172013,16,936,6,761,7,0,311,1786,19,5,1102,4,619,0172013,0,124,1869,0,150,3,15,1191,814,017,750,0,43,148,71,43,5,12,434,191,62,2013,1298.0,6526.0,11497.0
0182013,11,234,32,2136,0,3,733,1125,11,3,198,4,160,0182013,6,4,3564,51,146,5,100,421,140,018,1968,11,42,160,148,7,41,48,725,395,218,2013,402.0,6355.0,12850.0
0192013,6,1418,41,1837,1,5,577,3372,11,2,455,2,719,0192013,0,30,3422,15,617,6,323,614,472,019,752,3,29,40,475,72,17,167,1121,510,300,2013,1110.0,9206.0,17431.0
0202013,8,327,0,2982,0,3,627,1966,221,3,240,1,374,0202013,0,1,421,8,173,5,270,326,21,020,1320,28,14,1,293,347,54,23,371,270,48,2013,460.0,4217.0,10746.0
0222013,1,83,21,398,1,0,220,640,56,2,109,2,123,0222013,0,12,879,2,122,4,13,185,369,022,133,4,100,0,219,6,0,89,230,133,56,2013,339.0,2273.0,4212.0
0232013,6,941,4,2231,17,3,361,109,105,1,80,3,668,0232013,2,47,154,18,293,3,84,170,7,023,1450,8,61,1,538,37,11,9,164,179,36,2013,445.0,1328.0,7801.0
0242013,8,148,0,2172,0,2,224,1454,8,0,86,2,206,0242013,0,0,293,2,260,5,64,470,1,024,894,22,58,9,112,49,3,33,200,248,81,2013,431.0,2934.0,7114.0
0252013,5,270,1,1683,6,14,37,168,56,0,52,1,198,0252013,0,0,999,45,196,1,54,373,254,025,1862,47,33,5,93,269,3,40,127,283,56,2013,329.0,2234.0,7231.0
0262013,3,369,0,1510,1,13,261,549,66,13,71,1,256,0262013,1,21,564,18,364,29,6,324,437,026,441,7,609,122,235,7,50,29,255,242,68,2013,1080.0,2857.0,6942.0
0282013,17,118,0,1582,0,12,718,870,114,2,66,5,102,0282013,0,14,386,3,241,10,14,436,9,028,1391,2,528,11,251,80,529,49,262,177,55,2013,847.0,3886.0,8054.0
0302013,15,246,1,1779,0,11,575,834,43,1,132,2,158,0302013,1,9,685,21,381,11,19,155,139,030,1217,5,436,2,274,305,80,9,125,395,43,2013,965.0,3635.0,8109.0
0322013,56,339,0,1044,0,26,290,776,109,4,844,7,521,0322013,9,12,357,41,157,24,19,481,1048,032,904,12,194,3,814,68,230,62,1019,433,165,2013,1231.0,3530.0,10068.0
0332013,13,341,1,1459,21,5,294,416,57,8,111,2,246,0332013,3,3,139,36,282,5,40,463,21,033,1058,18,436,5,403,190,191,18,319,218,109,2013,852.0,2615.0,6931.0
0342013,1,224,0,750,0,1,57,1067,134,7,30,0,230,0342013,3,8,474,16,154,2,5,206,134,034,571,14,58,0,242,22,12,19,97,280,62,2013,258.0,2113.0,4880.0
0402013,47,222,0,1163,0,0,431,1079,48,18,201,21,405,0402013,14,33,1236,25,126,163,34,515,165,040,861,16,685,172,2488,68,145,37,1198,953,163,2013,1191.0,4737.0,12732.0
0412013,12,292,0,290,0,0,321,1564,45,2,66,1,322,0412013,14,15,624,43,35,8,28,121,104,041,514,8,704,14,608,61,151,87,814,477,159,2013,821.0,3718.0,7504.0
0422013,19,131,2,871,0,7,695,995,7,1,74,11,194,0422013,46,4,1394,5,162,28,5,98,158,042,477,166,234,1,977,29,28,54,286,480,73,2013,664.0,3927.0,7712.0
0432013,46,350,1,481,9,6,372,793,118,2,483,4,324,0432013,2,15,832,6,139,10,9,531,259,043,785,39,250,13,1408,19,133,26,250,583,107,2013,921.0,3662.0,8405.0
0442013,21,423,0,804,0,1,283,2434,110,8,59,4,219,0442013,4,2,90,67,27,17,14,198,118,044,1606,36,197,27,790,52,41,63,303,717,191,2013,336.0,3522.0,8926.0
0452013,5,187,0,589,6,0,95,692,1,1,27,1,195,0452013,4,3,16,23,25,12,24,157,195,045,533,6,234,0,655,26,11,67,459,384,80,2013,304.0,1335.0,4713.0
