ID,PERSONS_INJURED,PERSONS_KILLED,PEDESTRIANS_INJURED,PEDESTRIANS_KILLED,CYCLIST_INJURED,CYCLIST_KILLED,MOTORIST_INJURED,MOTORIST_KILLED
12013,418,2,182,1,49,0,187,1
12014,386,0,138,0,71,0,177,0
12015,389,0,127,0,83,0,179,0
52013,424,0,133,0,64,0,227,0
52014,347,4,123,4,76,0,148,0
52015,347,1,109,1,72,0,166,0
62013,251,0,97,0,43,0,111,0
62014,210,0,82,0,43,0,85,0
62015,208,0,73,0,48,0,87,0
72013,271,0,67,0,50,0,154,0
72014,244,1,76,1,42,0,126,0
72015,219,1,45,1,42,0,132,0
92013,390,1,144,1,103,0,143,0
92014,371,1,134,0,97,1,140,0
92015,295,0,103,0,84,0,108,0
102013,329,4,88,2,38,0,203,2
102014,261,2,68,2,36,0,157,0
102015,260,2,88,1,37,0,135,1
132013,708,6,275,5,136,0,297,1
132014,656,2,239,2,140,0,277,0
132015,577,0,207,0,144,0,226,0
142013,594,3,261,3,99,0,234,0
142014,562,2,258,1,91,0,213,1
142015,505,1,223,1,94,0,188,0
172013,487,2,203,2,57,0,227,0
172014,444,0,167,0,61,0,216,0
172015,484,4,170,4,93,0,221,0
182013,569,2,238,1,92,0,239,1
182014,537,1,220,0,81,0,236,1
182015,498,1,170,1,88,0,240,0
192013,739,6,242,6,96,0,401,0
192014,710,6,246,5,89,0,375,1
192015,655,5,217,5,90,0,348,0
202013,261,1,81,0,37,0,143,1
202014,221,1,74,0,38,0,109,1
202015,244,1,78,1,43,0,123,0
222013,82,1,27,0,15,0,40,1
222014,69,0,22,0,13,0,34,0
222015,92,0,27,0,25,0,40,0
232013,281,3,64,1,35,1,182,1
232014,320,5,102,1,22,2,196,2
232015,312,0,75,0,36,0,201,0
242013,218,1,80,1,22,0,116,0
242014,204,6,86,5,35,1,83,0
242015,211,1,58,1,25,0,128,0
252013,492,4,141,3,21,1,330,0
252014,484,3,125,2,23,0,336,1
252015,444,2,124,0,30,1,290,1
262013,230,1,53,1,24,0,153,0
262014,202,2,50,1,38,0,114,1
262015,161,1,40,1,20,0,101,0
282013,268,1,75,1,46,0,147,0
282014,233,2,68,1,47,1,118,0
282015,234,0,57,0,36,0,141,0
302013,208,2,60,1,21,0,127,1
302014,157,0,55,0,19,0,83,0
302015,197,0,52,0,22,0,123,0
322013,324,2,90,1,30,0,204,1
322014,301,0,87,0,22,0,192,0
322015,265,2,79,1,28,0,158,1
332013,352,1,98,1,20,0,234,0
332014,255,0,78,0,27,0,150,0
332015,267,1,67,0,25,0,175,1
342013,363,1,122,1,34,0,207,0
342014,329,0,92,0,45,0,192,0
342015,347,0,109,0,29,0,209,0
402013,587,2,174,1,19,0,394,1
402014,527,1,126,1,35,0,366,0
402015,624,0,116,0,46,0,462,0
412013,462,4,117,3,22,0,323,1
412014,464,2,89,0,24,0,351,2
412015,364,4,89,2,20,0,255,2
422013,405,3,118,1,28,1,259,1
422014,374,2,96,1,24,0,254,1
422015,363,0,94,0,26,0,243,0
432013,692,3,165,3,39,0,488,0
432014,574,6,139,2,44,1,391,3
432015,550,3,133,2,20,0,397,1
442013,562,3,173,3,33,0,356,0
442014,538,0,152,0,37,0,349,0
442015,554,8,146,4,55,2,353,2
452013,615,4,94,1,14,0,507,3
452014,544,4,95,2,25,0,424,2
452015,530,4,80,1,16,1,434,2
462013,561,6,162,5,29,0,370,1
462014,563,0,165,0,32,0,366,0
462015,469,1,129,0,39,0,301,1
472013,883,5,166,5,20,0,697,0
472014,889,1,164,0,21,0,704,1
472015,928,4,165,2,37,0,726,2
